member_id,name,age,club,gender,weight_class,entry_total,session_number,session_platform,meet
46,Samantha Mayfield,46,"Tsunami Weightlifting System TXOK W45, TXOK, W45, Open",Male,140kg,80,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
51,Sarah Glazer,51,"Marin Heavy Athletics W50, Open",Male,685kg,77,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
69,Kristin Johnson,59,"Austin Barbell TXOK W55, TXOK, W55, Open",Female,55kg,95,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
69,Maureen O'Hagan,60,"Cully Strength W60, Open",Female,60kg,77,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
68,Julie Canepa,68,"MILLER WEIGHTLIFTING W65, Open",Male,394kg,70,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
66,Bennie Jarvis,9,"95East Barbell Club W65, Open",Male,9kg,68,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
69,Mariah Fiorino,27,Stomp Weightlifting TXOK,Male,69kg,102,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
88,Colten Clyburn,60,"DRAGON BARBELL Open, TXOK, TXOK",Male,88kg,210,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
36,Rob Schilke,17,"Stonehenge Weightlifting M35, Open, TXOK M35, TXOK",Male,17kg,228,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
39,Sean Rabourn,39,"Lupo Barbell Club M35, Open",Male,454kg,222,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
39,Marcos Valderas,39,Unaffiliated,Male,203kg,217,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
29,Joshua Blake,41,Unaffiliated,Male,40kg,225,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
43,Timothy Johnson,59,Unaffiliated,Male,59kg,225,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
30,Antoine Nguyen,30,Standard Strength Open,Male,517kg,220,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
88,Christopher Fusselman,68,"Bobcat Barbell Open, TXOK",Male,88kg,220,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
22,Luis Leyva,22,"TEXAS BARBELL CLUB Open, TXOK",Male,432kg,218,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
31,Jackson Grady,31,Unaffiliated,Male,179kg,215,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
34,Yifu Xiao,34,Unaffiliated,Male,340kg,210,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
79,Xaiden Shultz,17,"ECLIPSE BARBELL CLUB Open, TXOK, TXOK",Male,79kg,230,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
79,John Henry Jamieson,18,Unaffiliated,Male,79kg,235,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
37,Jacob Howard,37,"Wolf Pack Weightlifting M35, Open",Male,661kg,230,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
37,Matt Reeves,37,"Lighthouse Lifting M35, Open",Male,359kg,219,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
23,Connor Callaway,23,Unaffiliated,Male,412kg,240,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
25,Marcos Marroquin,25,LAS VEGAS BARBELL Open,Male,533kg,230,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
79,Brook Jacoby,33,Unaffiliated,Male,79kg,230,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
23,Jeremiah Gorman,23,"Austin Barbell Open, TXOK",Male,260kg,225,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
30,Danny Zheng,30,"BlueWave Weightlifting Open, TXOK",Male,234kg,220,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
24,David Amerson,24,Sanctuary Barbell Open,Male,534kg,220,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
63,Taylor Ford,56,TEAM FLORIDA GULFCOAST WL,Male,63kg,135,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
63,Julia Falamas,36,Unaffiliated,Female,35kg,140,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
63,Kristin Curd,41,"Pure Health Barbell TXOK W40, TXOK, W40, Open",Female,40kg,138,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
63,Venessa Halverson,48,"Strong Weightlifting TXOK W45, TXOK, W45, Open",Female,45kg,145,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
24,Micaleigh Dowling,24,"BlueWave Weightlifting TXOK, Open",Male,107kg,150,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
29,Savanna Anderson,15,"BlueWave Weightlifting TXOK, Open",Male,15kg,150,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
63,Aspen Mares-Toledo,32,EMINENCE BARBELL CLUB Open,Male,63kg,140,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
28,Nicole Reiner,28,Unaffiliated,Male,525kg,140,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
34,Aimee Wong,34,"Stonehenge Weightlifting TXOK, Open",Male,351kg,137,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
34,Rachel Teran,34,"Iron Grit Barbell TXOK, Open",Male,398kg,135,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
36,Matthew Jones,36,"Strong Weightlifting M35, MIL, MILMM, Open, TXOK M35, TXOK",Male,292kg,250,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
39,David Young,39,"BlueWave Weightlifting M35, MIL, MILMM, Open, TXOK M35, TXOK",Male,231kg,245,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
22,Colby Hess,22,"Bexar Barbell Open, TXOK",Male,328kg,250,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
29,Kevin Li,21,Unaffiliated,Male,29kg,245,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
21,Michael Headings,21,Steadfast Barbell Open,Male,637kg,242,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
26,Vasilis Arampatzis,26,"Bobcat Barbell Open, TXOK",Male,607kg,235,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
27,Nathan Morehart,27,"Austin Barbell Open, TXOK",Male,506kg,230,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
29,Michael Cardozo,10,"Stellar Strength Barbell Open, TXOK",Male,10kg,230,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
